River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.85,2.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.76,4.74,Normal,,6.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.84,11.85,Normal,,,9.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.97,2.00,Normal,,1.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.38,Normal,,15.,,,4
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.44,1.41,Normal,,13,,.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.35,3.32,Alert,Falling,7.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.12,8.09,Normal,,25.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.78,2.76,Normal,,5.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.72,3.71,Normal,,4.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.15,7.13,Minor Flood,Falling,4.7,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.42,2.40,Normal,,1.5,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.70,3.69,Alert,Falling,0.0,,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.30,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.80,4.80,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.32,1.29,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.43,0.42,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.05,3.06,Normal,,3.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.80,1.80,Normal,,3.1,,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.26,3.29,Normal,,0.7,,,
