River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.45,1.20,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.23,1.22,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.44,9.42,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.57,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.65,0.64,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.38,0.28,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.68,0.68,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.60,0.58,Normal,,4.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.60,5.66,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.02,1.98,Normal,,26.,,0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.26,1.26,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.99,1.97,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.37,2.33,Normal,,5.6,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.69,1.69,Normal,,3.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.15,1.15,Normal,,25.,,1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.60,4.58,Normal,,39.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.92,0.93,Normal,,23.,,8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.51,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.01,3.01,Alert,,0.7,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.55,1.54,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.92,1.91,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.96,1.96,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.05,2.05,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.41,1.40,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.46,1.44,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.17,2.27,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.31,3.41,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.32,-0.34,Normal,,,14.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.80,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.98,0.97,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.18,1.17,Normal,,3.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.06,4.02,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.73,0.73,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.29,4.28,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.62,1.58,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.68,1.99,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.49,2.48,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.30,1.30,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.00,1.00,Normal,,0.0,,
