பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 5 - 1 4,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,31,23,95,80,"பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
சாத்தியம்"
மட்டக்களப்பு,31,25,95,75,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
வகாழும்பு,30,23,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
காலி,28,24,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
யாழ்ப்பாணம்,30,25,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
கண்டி,28,22,95,80,அடிக்கடி மழை பபய்யும்
நுவவரலியா,19,15,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
இரத்தினபுரி,30,23,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
திருககாணமலை,30,25,90,75,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
மன்னார்,30,26,95,80,அவ்வப்பபாது மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
