River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.65,1.63,Normal,,0.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.76,9.71,Normal,,1.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.70,Normal,,1.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.65,0.64,Normal,,0.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.60,0.59,Normal,,0.9
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.72,0.72,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.64,0.60,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.54,5.49,Normal,,0.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.80,1.77,Normal,,0.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.62,1.61,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.60,2.52,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.17,2.14,Normal,,0.6
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.84,1.88,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.57,1.56,Alert,Falling,3.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.73,4.68,Normal,,1.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.13,1.13,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.68,0.67,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.99,2.80,Normal,,2.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.34,2.31,Normal,,9.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.45,1.41,Normal,,19.3
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.55,2.56,Normal,,9.6
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,3.45,3.42,Normal,,36.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,3.60,3.34,Normal,,46.2
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.66,4.29,Normal,,44.8
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.68,2.48,Normal,,49.5
,,Manampitiya ( Old),m,3.50,5.00,6.00,3.81,3.72,Alert,Falling,123.7
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,4.95,4.86,Alert,Falling,123.7
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.49,0.49,Normal,,49.6
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.48,Normal,,3.7
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.07,1.07,Normal,,1.6
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.64,1.58,Normal,,46.8
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,5.90,6.02,Alert,Rising,30.3
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.21,1.28,Normal,,31.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.42,3.45,Normal,,10.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.90,0.92,Normal,,25.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.41,3.44,Normal,,2.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.71,Normal,,0.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.45,Normal,,1.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.42,1.41,Normal,,0.0
