ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 3 -03,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,33,21,85,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,30,23,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,32,24,85,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,30,25,90,65,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,32,21,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,33,16,90,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,21,8,75,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,35,21,90,40,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,30,22,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,32,22,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
