දින්‍ය : 2026-02-01,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,23,95,65,වැසි වාර කිහිපයක්
මඩකලපුව,29,23,95,75,විටින් විට වැසි
ගකාළඹ,31,24,90,60,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ොේල,30,25,90,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,29,23,90,60,විටින් විට වැසි
මහනුවර,29,21,95,80,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,20,14,95,85,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,34,23,95,75,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,28,23,95,70,විටින් විට වැසි
මන්නාරම,29,25,90,65,වැසි වාර කිහිපයක්
