River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.72,5.76,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.50,12.43,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.84,Normal,,,2.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.18,1.15,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.63,1.60,Normal,,,3.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.91,0.90,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.29,4.29,Minor Flood,,0.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.20,10.19,Alert,Falling,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.18,5.14,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.10,3.04,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.38,8.36,Major Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.76,2.84,Normal,,,2.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.43,4.41,Minor Flood,Falling,,3.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.23,2.23,Minor Flood,,,3.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.19,6.19,Minor Flood,,15.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.12,2.16,Normal,,7,,,.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.31,1.33,Normal,,,,5.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.26,3.25,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.02,2.01,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.16,4.13,Alert,Falling,0.0,,,
