பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 3 0,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,35,24,95,40,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,31,24,90,70,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,27,85,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
காலி,32,26,90,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,34,25,85,55,பிரதானமாக சீரான வானிலை
கண்டி,33,21,95,45,பிரதானமாக சீரான வானிலை
நுவவரலியா,23,10,85,40,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,37,24,95,45,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
திருககாணமலை,33,24,90,60,பிரதானமாக சீரான வானிலை
மன்னார்,33,26,95,60,பிரதானமாக சீரான வானிலை
