River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.11,2.10,Normal,,21.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.94,9.90,Normal,,22.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.53,Normal,,26.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.31,0.30,Normal,,23.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.98,Normal,,37.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.56,0.56,Normal,,8.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.48,1.49,Normal,,47.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.18,6.21,Normal,,84.6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.75,1.77,Normal,,42.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.91,3.93,Normal,,34.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.84,4.88,Normal,,86.6,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.04,2.99,Normal,,64.5,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.58,3.61,Alert,Rising,62.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.31,1.32,Normal,,29.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.67,5.72,Alert,Rising,89.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.13,2.12,Normal,,67.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.10,1.09,Normal,,77.5,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.41,0.42,Normal,,15.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.37,-0.37,Normal,,3.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.46,0.46,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.85,0.85,Normal,,7.2,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.33,Normal,,11.7,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.61,0.62,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.19,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.11,0.12,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.37,-1.36,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.23,-0.22,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.91,-2.95,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.55,1.60,Normal,,0.7,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.99,0.99,Normal,,17.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.24,0.18,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.46,1.46,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.40,0.40,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.07,-0.08,Normal,,1.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.24,-0.24,Normal,,10.5,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.87,1.87,Normal,,27.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.86,0.86,Normal,,18.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.68,1.68,Normal,,32.5,
