தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
புளத்பகாஹுபிட்டிய,லைைரக,136.5
மாலிபபாட,லைைரக,115.5
மஸ்பகலியா,நுவதரலியர,117.5
