River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,0.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.45,2.41,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.15,10.05,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.76,1.55,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.77,0.77,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.65,0.71,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.85,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.25,2.25,Normal,,1.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.52,6.49,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.41,2.33,Normal,,0.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.55,4.52,Alert,Falling,,11.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.67,7.67,Minor Flood,,5.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.10,4.09,Minor Flood,Falling,3.5,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.44,2.40,Normal,,44.5,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.26,2.26,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.27,6.24,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.60,1.59,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.09,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.80,1.80,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.23,1.23,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.10,1.10,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.71,1.70,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.07,-0.07,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.34,1.34,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.81,0.80,Normal,,0.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.04,1.03,Normal,,5.3,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.61,0.61,Normal,,,16.9
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.75,1.75,Normal,,,16.9
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.98,-0.95,Normal,,2.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.35,2.59,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.20,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.79,0.82,Normal,,,13.4
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.71,2.76,Normal,,1.9,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.93,0.95,Normal,,5.7,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.54,3.46,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.98,0.97,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.45,1.44,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.68,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.44,1.44,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.73,1.72,Normal,,0.0,
