River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.48,2.45,Normal,,12.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.29,10.23,Normal,,1.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.72,1.47,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,0.98,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.61,0.65,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.95,Normal,,8.,,3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.42,2.42,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.95,9.85,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.47,2.41,Normal,,4.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.93,3.87,Normal,,,6.5,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.93,6.91,Minor Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.25,4.25,Minor Flood,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.40,2.38,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.65,1.65,Alert,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.62,5.54,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.71,1.61,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.24,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.38,1.35,Normal,,7.,,9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.42,1.39,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.19,1.20,Normal,,,6.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.73,1.72,Normal,,0.6,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.23,0.22,Normal,,9.,,0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.90,0.89,Normal,,3.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.75,0.73,Normal,,11.1,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.62,1.03,Normal,,15.4,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.10,2.03,Normal,,1.7,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.14,-2.34,Normal,,3.4,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.57,2.55,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.26,1.28,Normal,,,6.5,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.60,0.55,Normal,,9.,,1,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,3.65,3.55,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.30,1.26,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.78,1.78,Normal,,2.5,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.66,4.69,Normal,,3.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.74,5.78,Alert,Rising,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.23,4.12,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.02,2.93,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.41,4.44,Minor Flood,Rising,0.0,,,
