10,"රත්නපුර
,uj;jpdGhp
Rathnapura",Rathnapura,Landslide Risk,2021.11.11,6,20,,,,,,,,1,3,7,
,,Opanayake,Heavy Rain,2021.11.15,1,4,,,,,1,,,,,,
,,Kiriella,High Wind,2021.11.15,1,4,,,,,1,,,,,,
,,Pelmadulla,,2021.11.16,1,3,,,,,1,,,,,,
,,Hakawattha,,,1,5,,,,,1,,,,,,
,,Kuruvita,,,3,14,,,,,3,,,,,,
,,Godakawela,Heavy Rain,2021.11.18,1,4,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,54,0,0,0,0,8,0,0,1,3,7,
11,"කෑගේල
Nffhiy
Kegalle",Dehiovita,Tree Fallen,2021.11.16,1,5,,,,,,,,,,,
,,,Cutting Faliure,,1,7,,,,,,,,,,,
,,Bulathkohupitiya,Landslide Risk,2021.11.15,10,40,,,,,1,,,,,,
,,Aranayaka,Wall Collapse,2021.11.15,4,18,,,,,4,,,,,,
,,Warakapola,Boat Capsized,2021.11.09,,,1,,,,,,,,,,
,,Galigamuwa,Landslide,2021.11.09,,,2,,,,,,,,,,
,,Mawanella,Cutting Faliure,2021.11.14,6,25,,,,,2,,,,,,
,,Rambukkana,Cutting Faliure,2021.11.11,114,415,3,3,,2,41,,,2,13,49,
,,Yatiyanthota,Cutting Faliure,2021.11.10,4,22,,,,,4,,,,,,
,,Deraniyagala,Cutting Faliure,2021.11.16,4,16,,,,,4,,,,,,
,,Ruwanwella,Wall Collapse,2021.11.15,2,2,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,146,550,6,3,0,2,57,0,0,2,13,49,
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,160,604,6,3,0,2,65,0,0,3,16,56,
12,"කළුතර
fSj;Jiw
Kalutara",Agalawatta,Cutting Faliure,"2021.11.06/07/0
8",13,48,,,,,1,,,,,,
,,Horana,High Wind,,5,24,,,,,3,,,,,,
,,Walallawita,,,4,16,,,,,4,,,,,,
,,Kalutara,,,418,1663,,,,,6,,,,,,
,,Ingiriya,,,3,14,,,,,3,,,,,,
,,Mathugama,,,25,85,,,,1,7,,,,,,
,,Panadura,,,105,525,,,,,1,,,,,,
,,Beruwala,,,16,61,,,,,16,,,,,,
,,Dodangoda,,,5,19,,,,,5,1,,,,,
,,Madurawala,,,7,22,,,,,7,,,,,,
,,Bulathsighala,,,4,15,,,,,4,,,,,,
,,Palindanuwara,,,1,2,,,,,1,,,,,,
,,Millaniya,,,11,48,,,,,,,,,,,
,,Bandaragama,,,8,31,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,625,2573,0,0,0,1,60,1,0,0,0,0,
13,"ලකාළඹ
nfhOk;G
Colombo",Rathmalana,Heavy Rain,2021.11.15,1,3,,,,,1,,,,,,
,,Thimbirigasyaya,Fire,2021.11.20,,,,2,,,,,,,,,Fire at Mcdonald Building
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,3,0,2,0,0,1,0,0,0,0,0,
