"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :22nd November 2021 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk; Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa
khfhzk;
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Kotmale,Landslide,2021.11.09,13,54,,,,,3,,,,,,
,,,,Heavy Rain,2021.11.11,2,3,,,,,2,,,,,,
,,,Walapane,Landslide Risk,2021.11.09,8,33,,,,,,,,,,,
,,,Nuwara Eliya,Landslide,2021.11.09,1,5,,,,,1,,,1,7,29,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,24,95,0,0,0,0,6,0,0,1,7,29,
,2,"මාතලේ
khj;jis
Matale",Ukuwella,"Heavy Rain &
High Wind",2021.11.07,33,120,,,,3,13,,,,,,
,,,Amangahakorale,,2021.11.08,3,13,1,,,,3,,,,,,
,,,Damulla,,2021.11.10,4,17,,,,,4,,,,,,
,,,Mathale,,2021.11.10,39,144,,,,,9,,,,,,
,,,Raththota,,2021.11.11,90,381,,,,,33,,,,,,
,,,Vilgamuwa,,2021.11.06,2,5,,,,,2,,,,,,
,,,Galewala,,2021.10.31,2,6,,,,,2,,,,,,
,,,Yatawaththa,,2021.11.11,8,33,,,,,8,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,181,719,1,0,0,3,74,0,0,0,0,0,
,3,"නුවර
fz;b
Kandy",Akurana,"Heavy Rain &
High Wind",2021.11.11,2,7,,,,,2,,,,,,
,,,Doluwa,,2021.11.11,4,22,,,,,4,,,,,,
,,,Harispaththuwa,,2021.11.12,5,23,,,,,5,,,,,,
,,,Thumpne,,2021.11.14,18,68,,,,,9,,,,,,
,,,Uduthumbara,,2021.11.14,1,4,,,,,1,,,,,,
,,,Udunuwara,,2021.11.15,7,24,,,,,7,,,,,,
,,,Gangawata Korale,,2021.11.11,4,16,,,,,4,,,,,,
,,,Yatinuwara,,2021.11.12,7,31,,,,,6,,,,,,
,,,Hatharaliyadda,,2021.11.12,14,54,,,,,,,,,,,
,,,PathadumbaraHa,,2021.11.14,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,63,252,0,0,0,0,39,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,268,1066,1,0,0,3,119,0,0,1,7,29,
,4,"මන්නාරම
kd;dhH
Mannar",Mannar Town,"Heavy Rain &
Flood","2021.11.01 -
2021.11.09",4448,16087,,,,,2,,,,,,
,,,Nannattan,,,8,39,,,,,1,,,,,,
,,,Manthai West,,,340,1092,,,,,,,,,,,
,,,Musali,,,166,628,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4962,17846,0,0,0,0,3,0,0,0,0,0,
