River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.00,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.68,0.68,Normal,,0.0,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.85,8.85,Normal,,0.0,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,0.3,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.52,0.50,Normal,,0.0,,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.34,0.40,Normal,,0.0,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.62,0.62,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.67,0.55,Normal,,0.0,,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.39,4.39,Normal,,0.0,,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.96,0.97,Normal,,0.0,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.22,1.21,Normal,,0.0,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.00,1.91,Normal,,0.0,,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.14,1.16,Normal,,,,6.1,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.21,2.39,Normal,,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.55,0.53,Normal,,0.0,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.17,3.31,Normal,,,3.5,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.80,2.00,Normal,,25.0,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.34,Normal,,28.1,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.95,0.96,Normal,,0.0,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.02,1.01,Normal,,0.0,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.13,1.13,Normal,,0.0,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.33,Normal,,0.0,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.11,-0.11,Normal,,0.0,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.14,1.14,Normal,,0.0,,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.74,0.74,Normal,,0.1,,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.95,0.93,Normal,,0.2,,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.98,1.98,Normal,,,,5.9,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.42,-1.12,Normal,,,2.8,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.20,2.40,Normal,,0.0,,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.83,0.83,Normal,,0.0,,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.74,0.75,Normal,,0.1,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.38,2.38,Normal,,0.4,,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.73,0.75,Normal,,15,,,.2,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.52,2.48,Normal,,17.,,,,7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.46,Normal,,0.0,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.68,0.68,Normal,,0.0,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.17,2.17,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.05,1.05,Normal,,0.0,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.83,0.82,Normal,,0.0,,,,,
