River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.64,2.65,Normal,,,0.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.40,7.38,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.33,2.23,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.37,5.31,Alert,Falling,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,7.52,7.52,Minor Flood,,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.35,2.33,Normal,,2.4,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.94,3.93,Alert,Falling,,0.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.46,Alert,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.27,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.18,1.17,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.26,0.26,Normal,,0.0,
