River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.45,2.15,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.29,4.20,Normal,,7.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.65,11.51,Normal,,67.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.91,Normal,,16.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.42,1.38,Normal,,59.7
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.87,Normal,,53.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.24,1.20,Normal,,12.2
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.68,1.69,Normal,,1.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.78,7.82,Normal,,7.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.31,4.19,Normal,,32.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.60,3.47,Normal,,22.5
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.18,5.22,Alert,Rising,8.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.90,3.89,Alert,Falling,33.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.66,2.61,Normal,,57.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,9.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.54,6.49,Minor Flood,Falling,35.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.29,2.20,Normal,,64.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.35,1.28,Normal,,62.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.43,3.53,Alert,Rising,14.3
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.74,2.66,Normal,,68.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.24,1.22,Normal,,16.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.04,2.93,Normal,,99.6
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.86,2.75,Normal,,34.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.18,2.14,Normal,,28.3
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.77,1.68,Normal,,54.4
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.10,1.11,Normal,,6.1
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.38,2.58,Normal,,34.2
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.52,3.72,Normal,,34.2
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,0.33,0.17,Normal,,43.7
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.42,3.53,Normal,,9.4
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.27,1.26,Normal,,19.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.31,1.27,Normal,,49.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.60,6.56,Alert,Falling,21.7
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,2.79,2.38,Normal,,47.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.23,7.21,Minor Flood,Falling,3.7
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.36,2.35,Normal,,3.7
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.01,2.00,Normal,,3.4
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.09,4.06,Normal,,11.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.20,3.14,Normal,,33.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.66,4.68,Minor Flood,Rising,33.6
