දිනය : 2026-06-18,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,26,90,70,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,28,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,31,27,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,27,90,80,වැසි වාර කිහිපයක්
යාපනය,34,28,95,70,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,23,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,22,15,95,65,වැසි වාර කිහිපයක්
රත්නපුරය,32,25,80,70,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,36,27,90,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,28,90,75,ප්‍රධාන වශයයන් වැසි රහිත
