"பிரதான நகரங்களுக்கான வானிலை
திகதி : 2026-06-18
முன்னறிவித்தை்",,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உசச்,குலைந்த,உசச்,குலைந்த,
அனுராதபுரம்,32,26,90,70,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,33,28,90,65,"பி.ப. 2.00 மணிக்குப் பின்னர ்மலை அை்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
வகாழும்பு,31,27,90,75,அடிக்கடி மலை பபய்யும்
காலி,30,27,90,80,அடிக்கடி மலை பபய்யும்
யாழ்ப்பாணம்,34,28,95,70,பிரதானமாக சீரான வானிலை
கண் டி,30,23,95,70,அடிக்கடி மலை பபய்யும்
நுவவரலியா,22,15,95,65,அடிக்கடி மலை பபய்யும்
இரத்தினபுரி,32,25,80,70,அடிக்கடி மலை பபய்யும்
திருககாணமலை,36,27,90,55,"பி.ப. 2.00 மணிக்குப் பின்னர ்மலை அை்ைது இடியுடன்
கூடிய மலை பபய்யும் சாத்தியம்"
மன்னார்,31,28,90,75,பிரதானமாக சீரான வானிலை
