දින්‍ය : 2026-05-26,,,,,
න්‍ගරය,උෂ්ණත්වය(මස. අංශක),,සාමේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,32,26,90,60,වැසි ස්වල්පයක්
මඩකලපුව,34,27,90,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,31,26,90,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,25,90,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,85,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,30,23,95,65,වැසි වාර කිහිපයක්
නුවරඑළිය,22,15,95,70,වැසි වාර කිහිපයක්
රත්නපුරය,31,24,95,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,35,27,80,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,32,28,90,70,වැසි ස්වල්පයක්
