ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5-03-04,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශ්‍ක),,සාහේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,25,95,70,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,31,26,90,70,වැසි සරවේපයක්
හකාළඹ,31,24,90,65,ප්‍රධාන වශහයන් වැසි රහිත
ොේල,31,24,95,70,"සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය
ැක"
යාපනය,32,24,85,65,ප්‍රධාන වශහයන් වැසි රහිත
ම නුවර,31,22,95,60,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,19,14,95,80,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,33,23,90,70,"සවස 4.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය
ැක"
ිකුණාමලය,30,26,85,70,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,32,25,85,65,ප්‍රධාන වශහයන් වැසි රහිත
