River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.68,2.60,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.22,10.15,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.47,1.81,Normal,,5.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.75,0.73,Normal,,0.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.74,0.75,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,1.09,Normal,,20.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.31,2.33,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.97,7.97,Normal,,0.6
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.06,4.96,Normal,,4.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.50,5.45,Alert,Falling,0.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,6.50,6.58,Minor Flood,Rising,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.81,3.83,Alert,Rising,0.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.51,5.24,Alert,Falling,1.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.48,Alert,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.42,6.38,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,4.12,3.70,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.70,1.58,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.73,1.69,Normal,,3.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.19,1.18,Normal,,0.8
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.45,Normal,,72.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.56,1.54,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.05,0.08,Normal,,11.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.81,0.80,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.60,Normal,,0.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.37,0.39,Normal,,1.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.53,0.59,Normal,,0.6
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.26,-2.31,Normal,,0.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.88,2.63,Normal,,0.7
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.50,1.52,Normal,,20.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.40,0.41,Normal,,6.2
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.20,2.49,Normal,,24.5
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.61,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.55,1.55,Normal,,16.8
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.62,0.62,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.81,0.79,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.89,2.87,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.56,1.53,Normal,,1.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.90,2.84,Normal,,0.0
