,,Bulathkohupitiya,Lightning,2019.12.02,2,8,,,,,1,,,,,,
,,,Heavy Rain,,1,5,,,,,1,,,,,,
,,Dehiovita,Fire,2019.12.03,3,10,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,32,129,0,0,0,0,22,0,0,0,0,0,
11,"රත්නපුර
,uj;jpdGhp
Rathnapura",Godakawela,Cutting Failure,2019.12.01,1,2,,,,,1,,,,,,
,,Kahawatta,Heavy Rain,2019.12.01/02,10,48,,,,,10,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,11,50,0,0,0,0,11,0,0,0,0,0,
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,43,179,0,0,0,0,33,0,0,0,0,0,
12,"නුවර
fz;b
Kandy",Medadumbara,Heavy Rain,2019.11.30,4,19,,,,,4,,,,,,
,,,,2019.12.01,1,4,,,,,1,,,,,,
,,,,2019.12.04,4,20,,,,,4,,,,,,
,,Pathadumbara,,2019.11.30,1,4,,,,,1,,,,,,
,,,,2019.12.01,1,5,,1,,,1,,,,,,
,,,,2019.12.03,1,5,,,,,1,,,,,,
,,,,2019.12.04,2,9,,,,,2,,,,,,
,,Ududumbara,,2019.11.30,2,5,,,,,2,,,,,,
,,,Land Slide,2019.12.05,3,11,,,,,3,,,,,,
,,,Land Slide,2019.12.01,3,8,,,,2,1,,,,,,
,,Minipe,High Wind,2019.11.29,1,4,,,,,1,,,,,,
,,,Cutting Failure,2019.12.04,1,4,,,,1,,,,,,,
,,,Cutting Failure,2019.12.03,1,9,,,,,2,,,,,,
,,Deltota,Heavy Rain,2019.12.01,1,3,,,,,1,,,,,,
,,,,2019.11.30,12,34,,,,,5,,,,,,
,,,,2019.12.03,5,20,,,,,5,,,,,,
,,Kundasale,,2019.11.26,1,3,,,,,1,,,,,,
,,,Cutting Failure,2019.12.01,2,8,,,,,2,1,,,,,
,,,Risk of rolling,2019.12.04,18,70,,,,,,,,,,,
,,Pathahewaheta,"stones
Heavy Rain",2019.11.30,12,44,,,,1,4,1,,,,,
,,Akurana,Cutting Failure,2019.12.01,1,6,,,,,1,,,,,,
,,Hatharaliyadda,Cutting Failure,2019.12.01,2,9,,,,,1,,,,,,
,,Pasbagekorale,Heavy Rain,2019.12.02,3,6,,,,,3,,,,,,
,,Udapalatha,Cutting Failure,2019.12.02,1,5,,,,,1,,,,,,
,,,High Wind,2019.12.02,2,8,,,,,2,,,,,,
,,Harispattuwa,Heavy Rain,2019.12.02,2,5,,,,,2,,,,,,
,,,,2019.12.03,1,3,,,,,1,,,,,,
,,Gagawatakorale,Cutting Failure,2019.12.04,1,2,,,,,1,,,,,,
,,Yatinuwara,Heavy rain,2019.12.02,2,4,,,,,2,,,,,,
,,Galagedara,Heavy Rain,2019.12.01,1,1,,,,,1,,,,,,
,,Poojapitiya,Cutting Failure,2019.12.04,3,6,,,,,,,,,,,
,,Doluwa,Landslide Risk,2019.12.04,4,23,,,,,,,,3,4,23,
,,,Heavy Rain,2019.12.01,1,3,,,,,1,,,,,,
,,Panvila,Heavy Rain,2019.12.03,5,13,,,,,5,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif/District Total,,,,,105,383,0,1,0,4,62,2,0,3,4,23,
,,Nuwara Eliya,Flood,2019.11.30,26,122,,,,,2,,,1,1,6,"Lipakele Child Protection
Center"
,,,Flood,2019.12.03,3,13,,,,,,,,1,3,13,Park Collage
,,,Tree Fallen,2019.11.30,1,2,,,,,1,,,,,,
,,,Land Slide Risk,2019.11.30,3,18,,,,,1,,,,,,
,,,Land Slide,2019.11.30,15,59,,,,,5,,,,,,
,,,Land Slide Risk,2019.12.03,4,15,,,,,,,,1,4,15,"Naranthalawa wewkale
Tempal"
,,,Land Slide Risk,2019.11.30,12,25,,,,,,,,,,,
,,,Land Slide,2019.12.03,2,9,,,,,,,,1,2,9,"Brooksite Child Protection
Center"
,,,Land Slide,2019.12.01,24,74,,,,,,,,2,24,74,"Munwatta Temple &
Ekagapura Callage"
,,,Heavy Rain,2019.11.30,6,17,,,,,,,,1,6,17,Maagrt Collage
,,,Rock Falean,2019.12.02,1,5,,,,,,,,,,,
,,,Cutting Failure,2019.12.02,5,22,,,,,2,,,,,,
