Dehiowita,"Accident (Slipping
and falling from an
unsecured pole)",2025.10.20,1,1,1,,,,,,,,,,"(Slipping and
falling from an
unsecured pole)"
,Flood,2025.10.19,1,4,1,,,,,,,,,,"A 17-year-old
student (female)
has died after
falling into a
water flowing
drain."
,Tree Falling,2025.10.19/23,5,16,,,,,5,,,,,,
,High Wind,2025.10.23,2,9,,,,,2,,,,,,
,Cutting Failure,2025.10.23,1,2,,,,,1,,,,,,
Warakapola,Cutting Failure,2025.10.20,2,4,,,,,2,,,,,,
,Tree Falling,2025.10.20,2,9,,,,,2,,,,,,
,Rock Falling,2025.10.17-19,2,10,,,,,2,,,,,,
,Heavy Rain,2025.10.17,1,5,,,,,1,,,,,,
,Lightning,2025.10.17,1,2,,,,,1,,,,,,
Rabukkana,Cutting Failure,2025.10.18/22,5,25,,,,,2,,,,,,
,Flood,2025.10.18,5,19,,,,,5,,,,,,
,Heavy Rain,2025.10.24,10,38,,,,,10,,,,,,
,Tree Falling,2025.10.17/22,2,6,,,,,2,,,,,,
Mawanella,Cutting Failure,2025.10.19,104,400,,,,,105,,,,,,
,,2025.10.21-23,9,33,,,,,9,,,,,,
,Lightning,2025.10.18,1,4,,,,,1,,,,,,
,,2025.10.23,1,5,,,,,1,,,,,,
,Flood,2025.10.18,23,75,,,,,23,,,,,,
,Landslide,2025.10.19/21,5,13,,,,,5,,,,,,
,Tree Falling,2025.10.18,4,16,,,,,4,,,,,,
,,2025.10.22/23,3,11,,,,,3,,,,,,
Yatiyantota,Cutting Failure,2025.10.20,7,26,,,,,5,,,,,,
,Landslide,2025.10.20/23,5,12,,,,,,,,,,,
,High Wind,2025.10.17/20,4,20,,,,,4,,,,,,
,Rock Falling,2025.10.20,4,15,,,,,,,,,,,
Kegalle,Tree Falling,2025.10.17,6,14,,,,,6,,,,,,
,,2025.10.20,1,5,,,,,1,,,,,,
,,2025.10.21,1,4,,,,,1,,,,,,
,,2025.10.23,5,23,,,,,5,,,,,,
,Landslide,2025.10.20,1,2,,,,,1,,,,,,
,Cutting Failure,2025.10.17,1,3,,,,,1,,,,,,
,Lightning,2025.10.17,1,4,,,,,1,,,,,,
,Rock Falling,2025.10.17,2,9,,,,,2,,,,,,
Galigamuwa,Tree Falling,2025.10.17,1,4,,,,,1,,,,,,
,Cutting Failure,2025.10.21,4,15,,,,,4,,,,,,
,"High Wind/Tree
Falling",2025.10.23/24,5,18,,,,,5,,,,,,
,Cutting Failure,2025.10.19,1,3,,,,,1,,,,,,
Deraniyagala,Cutting Failure,2025.10.17,2,8,,,,,2,,,,,,
,,2025.10.21/22,6,28,,,,,6,,,,,,
,High Wind,2025.10.23,3,13,,,,,3,,,,,,
,Flood,2025.10.17,3,13,,,,,3,,,,,,
