දින්‍ය : 2026-03-21,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශ්‍ක),,සාහේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,23,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,32,24,90,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
හකාළඹ,33,25,90,63,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,26,90,85,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,23,90,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,32,20,95,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
නුවරඑළිය,22,11,95,70,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,23,95,60,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,33,23,95,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,34,25,95,65,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
