River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.65,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.51,2.49,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.48,10.42,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.76,1.88,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.90,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.77,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.86,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.43,1.41,Normal,,3.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.03,6.00,Normal,,9.8,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.93,1.91,Normal,,8.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.29,3.94,Normal,,29.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.55,5.53,Alert,Falling,5.4,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.87,2.85,Normal,,1.3,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.32,2.28,Normal,,10.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.47,1.47,Alert,,8.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.96,4.94,Normal,,1.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.55,1.52,Normal,,29.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.06,1.01,Normal,,37.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.15,2.60,Normal,,8.5,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.32,1.31,Normal,,1.9,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.09,1.09,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.73,1.73,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.77,0.77,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.67,1.67,Normal,,8.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.86,0.82,Normal,,2.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.86,0.85,Normal,,6.3,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.29,0.31,Normal,,8.9,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.43,1.45,Normal,,8.9,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.98,-2.02,Normal,,6.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.99,2.99,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.29,1.28,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.78,0.78,Normal,,4.6,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.06,3.11,Normal,,29.5,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.33,1.30,Normal,,30.4,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.44,3.40,Normal,,1,7.6,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.89,1.81,Normal,,2.2,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.69,0.69,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.89,2.88,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.57,1.57,Normal,,10.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.19,2.18,Normal,,0.0,,
