River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6.00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.70,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.07,4.99,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.91,11.89,Normal,,0.8,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.07,2.10,Normal,,7.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.44,1.51,Normal,,,22.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,1.04,Normal,,27,,.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.16,1.18,Normal,,4.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.24,2.23,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.26,8.25,Normal,,1.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.48,3.44,Normal,,,14.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.46,2.42,Normal,,3.3,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.01,5.99,Alert,Falling,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.67,2.63,Normal,,0.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.20,2.18,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.83,1.83,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.73,6.15,Minor Flood,Rising,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.55,2.40,Normal,,53.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.50,1.45,Normal,,,12.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.80,2.81,Alert,Rising,,18.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.20,6.18,Minor Flood,Falling,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.13,5.00,Alert,Falling,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.83,3.77,Normal,,,22.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.05,5.04,Minor Flood,Falling,0.0,,
