"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 15 th Aug 2021 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"නැගගනහිර
පලාත fpof;F
Eastern",1,"මඩකලපුව
kl;lf;fsg;G
Batticaloa","Eravurpattu,
Chenkalady",High Wind,2021.08.12,14,42,,,,,14,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,42,0,0,0,0,14,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,14,42,0,0,0,0,14,0,0,0,0,0,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuw
a",,,Nivithigala,High Wind,2021.0812,1,3,,,,,1,,,,,,
,,,Kalawana,Cutting failure,2021.08.13,1,3,,,,,1,,,,,,
,,රත්නපුර,Elapatha,Heavy Rain,2021.08.12,1,4,,,,,1,,,,,,
,2,uj;jpdGhp,Rathnapura,Heavy Rain,2021.08.12,11,45,,,,,8,,,,,,
,,Rathnapura,Ehaliyagoda,High Wind,2021.08.12,2,7,,,,,2,,,,,,
,,,Kiriella,High Wind,2021.08.12,1,4,,,,,1,,,,,,
,,,Kuruvita,Flood,2021.08.12,35,144,,,,,20,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,52,210,0,0,0,0,34,0,0,0,0,0,
,,,Deraniyagala,,,21,87,,,,,21,6,,2,12,54,Deraniyagala cultural centre
,3,කෑගල්ල,Yatiyantota,Flood / Cutting failure,2021.08.12,4,13,,,,,4,6,,,,,
,,Nffhiy Kegalle,Aranayaka,/ High Wind,,96,375,,,,3,3,4,,,,,
,,,Mawanella,,,11,38,1,,,,10,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,132,513,1,0,0,3,38,16,0,2,12,54,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,184,723,1,0,0,3,72,16,0,2,12,54,
,,"නුවරඑලිය
Etnuypah
Nuwara Eliya",,Cutting failure,,38,112,,,,,14,,,,,,
,,,Ambagamuwa,Flood,2021.08.12,68,229,,,,,,,,,,,
,4,,,Landslide,,14,49,,,,2,2,,,,,,
,,,,Flash Flood,,9,45,,,,,,,,,,,
,,,Kothmale,High Wind,2021.08.12,2,13,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,131,448,0,0,0,2,16,0,0,0,0,0,
