දින්‍ය : 2026-09-27,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,35,26,90,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,30,26,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,24,95,80,විටින් විට වැසි
යාපනය,32,27,85,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,30,22,90,80,වැසි වාර කිහිපයක්
නුවරඑළිය,18,14,95,85,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,32,26,95,80,විටින් විට වැසි
ිකුණාමලය,35,27,80,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,28,85,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
