දින්‍ය : 2026-06-16,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,31,26,95,60,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මඩකලපුව,34,27,90,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,25,90,75,වැසි වාර කිහිපයක්
ගාල්ල,30,26,90,80,වැසි වාර කිහිපයක්
යාපනය,33,28,85,65,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,29,22,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,22,15,95,60,වැසි වාර කිහිපයක්
රත්නපුරය,32,24,95,60,වැසි වාර කිහිපයක්
ිකුණාමලය,36,26,80,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,28,90,75,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
