River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.24,2.26,Normal,,45.,,,,8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.59,5.63,Normal,,,,29.1,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.23,1.22,Normal,,0.6,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.23,5.22,Alert,Falling,,,30.8,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.27,7.29,Minor Flood,Rising,39,,,.8,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.96,3.98,Normal,,77.5,,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.88,3.88,Alert,,0.0,,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.01,1.06,Normal,,1.5,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.47,4.58,Normal,,80.7,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.80,3.49,Normal,,69.2,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.65,0.70,Normal,,,14.5,,,,
