River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.45,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.19,3.17,Normal,,3.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.57,10.60,Normal,,2.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.05,1.86,Normal,,0.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.74,0.74,Normal,,2.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.96,0.91,Normal,,3.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.81,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.12,4.10,Minor Flood,Falling,3.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.56,8.49,Normal,,8.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.97,2.94,Normal,,2.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.09,3.05,Normal,,5.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.42,7.38,Minor Flood,Falling,3.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.14,4.10,Minor Flood,Falling,22.9,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.53,2.57,Normal,,15.9,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.94,1.94,Minor Flood,,3.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.33,5.31,Alert,Falling,3.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.64,1.66,Normal,,2.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.93,0.93,Normal,,6.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.33,1.32,Normal,,2.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.32,0.40,Normal,,4.7,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,0.6,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.38,1.37,Normal,,0.5,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,7.6,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.39,0.38,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.29,Normal,,0.2,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.00,0.00,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.10,-3.10,Normal,,2.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.07,2.05,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.25,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.30,0.29,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.09,1.08,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.29,0.28,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.74,0.72,Normal,,1.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.66,2.66,Normal,,2.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.36,1.36,Normal,,1.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.12,2.10,Normal,,0.5,
