River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.37,4.31,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.63,11.57,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.96,1.96,Normal,,1.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.18,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.89,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.48,1.57,Alert,Rising,,16.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.85,1.84,Normal,,6.1,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.60,7.56,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.10,3.00,Normal,,1.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.43,2.40,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.11,5.10,Alert,Falling,2,,4.9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.83,2.82,Normal,,1.0,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.28,Normal,,7.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.85,1.85,Minor Flood,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.32,5.29,Alert,Falling,51.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.70,1.69,Normal,,4.8,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.20,Normal,,7.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.78,2.77,Alert,Falling,9.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.49,7.49,Alert,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.47,6.49,Alert,Rising,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.06,6.06,Minor Flood,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.04,4.00,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.87,2.82,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.30,4.26,Alert,Falling,0.0,,
