River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.60,0.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.17,1.16,Normal,,1.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.37,9.33,Normal,,5.9,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.55,Normal,,10.7,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.57,Normal,,4.5,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.48,0.45,Normal,,3.3,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.80,0.78,Normal,,5.2,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.32,0.23,Normal,,1.6,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.68,4.69,Normal,,0.2,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.11,1.11,Normal,,5.6,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.27,1.25,Normal,,2.5,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.94,1.92,Normal,,1.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.23,1.21,Normal,,0.5,,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.45,1.45,Normal,,5.8,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.51,0.50,Normal,,10.4,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.21,3.20,Normal,,3.7,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.90,0.89,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.61,0.61,Normal,,0.9,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.18,1.18,Normal,,8.6,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.99,1.21,Normal,,17.3,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.35,1.42,Normal,,15.4,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.66,1.68,Normal,,16.4,,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.16,Normal,,6.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,6.89,6.11,Minor Flood,Falling,100.9,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.48,4.59,Alert,Rising,76,,,.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.35,3.10,Normal,,143.7,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,3.14,3.33,Normal,,,40.7,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,4.28,4.47,Normal,,,40.7,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,1.95,2.02,Normal,,83,,,.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.18,3.20,Normal,,25.2,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.09,1.10,Normal,,18.7,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,3.18,3.01,Alert,Falling,5,,9.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.12,2.15,Normal,,19.9,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.10,1.14,Normal,,15.4,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.77,1.83,Normal,,4.5,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.83,0.83,Normal,,15.1,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.85,1.90,Normal,,14.4,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.37,2.37,Normal,,1.7,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.30,Normal,,5.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.33,1.34,Normal,,3.2,,,,
