ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -28,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,22,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,29,25,90,80,වැසි වාර කිහිපයක්
යකාළඹ,32,24,80,50,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,22,90,70,වැසි සව් ල්පයක්
මහනුවර,30,20,90,60,වැසි සව් ල්පයක්
නුවරඑළිය,19,10,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,34,23,95,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,29,25,85,70,වැසි සව් ල්පයක්
මන්නාරම,29,25,85,70,වැසි සව් ල්පයක්
