River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.25,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.08,3.03,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.98,10.94,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.94,1.95,Normal,,1,,.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.69,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.12,1.12,Normal,,3.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.84,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.59,3.58,Alert,Falling,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.26,9.21,Normal,,3.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.09,3.01,Normal,,,0.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.50,2.47,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.60,7.57,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.72,1.72,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.98,2.93,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.78,0.76,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.20,3.20,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.66,0.68,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.21,0.22,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.30,1.28,Normal,,0.0,,
