River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.94,5.90,Normal,,108.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.15,13.03,Normal,,87.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.83,Normal,,62.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.64,1.56,Normal,,182.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.20,1.18,Normal,,85.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.94,Normal,,10.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.19,2.21,Normal,,138.4
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.05,8.13,Normal,,129.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.13,5.01,Normal,,65.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.58,4.51,Alert,Falling,18.9
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.68,5.73,Alert,Rising,70.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.55,2.47,Normal,,14.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.43,2.46,Normal,,10.6
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.45,1.46,Alert,Rising,41.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.92,5.90,Alert,Falling,13.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.80,2.62,Normal,,29.3
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.62,1.55,Normal,,59.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.27,1.26,Normal,,10.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.82,1.77,Normal,,1.4
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.01,Normal,,33.4
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.05,2.00,Normal,,5.8
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.84,0.84,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.49,1.47,Normal,,4.9
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.97,0.96,Normal,,44.6
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.64,0.64,Normal,,9.4
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.52,0.49,Normal,,1.4
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.66,1.63,Normal,,1.4
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.94,-0.90,Normal,,17.4
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.99,3.10,Normal,,45.8
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.32,1.25,Normal,,56.3
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.94,0.92,Normal,,18.1
,Agra Oya,Calidonia,m,3.00,3.50,4.50,0.94,0.94,Normal,,6.9
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.25,2.24,Normal,,9.1
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.48,0.49,Normal,,14.2
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.51,2.50,Normal,,14.6
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.71,0.82,Normal,,13.8
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,2.11,2.10,Normal,,13.7
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.30,4.30,Normal,,11.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.65,3.52,Normal,,64.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.50,4.54,Minor Flood,Rising,52.7
