දිනය : 2026-05-28,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,26,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,34,27,85,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,31,27,90,70,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,30,26,90,80,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,32,28,80,70,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,23,95,70,විටින් විට වැසි
නුවරඑළිය,21,16,95,75,විටින් විට වැසි
රත්නපුරය,28,25,95,85,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,34,27,85,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,29,85,75,වැසි ස්වල්පයක්
