பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 5 - 2 8,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,26,95,65,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,34,27,85,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
வகாழும்பு,31,27,90,70,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
காலி,30,26,90,80,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
யாழ்ப்பாணம்,32,28,80,70,பிரதானமாக சீரான வானிலை
கண்டி,29,23,95,70,அவ்வப்பபாது மலை பபய்யும்
நுவவரலியா,21,16,95,75,அவ்வப்பபாது மலை பபய்யும்
இரத்தினபுரி,28,25,95,85,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
திருககாணமலை,34,27,85,55,பிரதானமாக சீரான வானிலை
மன்னார்,31,29,85,75,சிறிதளவில் மலை பபய்யும்
