"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Colombo,"* Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,"Yakkalamulla,
Baddegama,
Nagoda and
Elpitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kalutara,"Palindanuwara and
Mathugama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Walallawita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,"* Udunuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"* Dehiowita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"* Alawwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola and
* Pitabeddara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Welipitiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,"* Ambagamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Kotmale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Ratnapura,"* Kuruwita,
Pelmadulla,
Elapatha,","↑ Kalawana
Divisional Secretariat",
