River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
9
Level
Rising or
Falling","Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.96,3.00,Normal,,11.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.30,11.45,Normal,,21.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.98,1.97,Normal,,21.8,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.52,1.58,Normal,,43.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.04,1.17,Normal,,6.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.27,1.30,Normal,,44.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.73,1.73,Normal,,52.4,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.41,7.39,Normal,,5.7,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.08,4.24,Normal,,35.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.40,2.74,Normal,,28.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.36,4.37,Normal,,43.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.66,2.68,Normal,,73.5,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.05,2.03,Normal,,21.1,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.23,1.25,Normal,,33.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.34,4.30,Normal,,27.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.25,1.20,Normal,,4.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.73,Normal,,7.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.37,1.48,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.09,1.09,Normal,,3.2,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.31,1.26,Normal,,20.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.62,1.62,Normal,,3.5,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.18,0.19,Normal,,18.2,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.98,1.08,Normal,,3.1,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.61,Normal,,17.8,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.22,2.18,Normal,,40.6,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.15,1.15,Normal,,18.8,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.32,-2.30,Normal,,4.6,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.15,3.23,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.26,2.24,Normal,,10.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.64,0.66,Normal,,3.9,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.51,2.72,Normal,,1.8,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,2.5,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.40,1.40,Normal,,3.4,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.71,0.71,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.70,1.90,Normal,,22.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.12,3.90,Normal,,11.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.77,2.82,Normal,,64.2,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.32,2.46,Normal,,83.0,,
