දිනය : 2026-06-06,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,34,27,85,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,30,25,90,75,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,29,25,90,80,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,32,28,85,70,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,28,22,95,80,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
නුවරඑළිය,18,15,95,85,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
රත්නපුරය,30,24,95,75,විටින් විට වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,34,27,80,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,32,28,85,70,ප්‍රධාන වශයයන් වැසි රහිත
