River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.80,0.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.20,1.19,Normal,,1.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.29,9.23,Normal,,8.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.63,Normal,,2.1,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.56,0.56,Normal,,2.5,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.42,0.42,Normal,,1.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.76,0.76,Normal,,3.7,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.50,0.37,Normal,,0.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.66,4.67,Normal,,2.4,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.12,1.12,Normal,,4.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.17,1.17,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.97,1.90,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.15,1.15,Normal,,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.46,1.44,Normal,,1.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.60,0.59,Normal,,1.9,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.28,3.28,Normal,,0.4,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.94,0.94,Normal,,1.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.63,0.63,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.34,2.34,Normal,,4.2,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.92,2.88,Normal,,6.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.48,1.45,Normal,,63,,.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.75,2.67,Normal,,,26.3,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,4.00,4.00,Alert,,,25.8,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,3.36,3.26,Normal,,105.5,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.07,3.70,Normal,,108.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.83,1.97,Normal,,96.1,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,4.17,4.18,Alert,Rising,10.1,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,5.31,5.32,Alert,Rising,10.1,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,1.99,1.80,Normal,,77.2,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.82,1.90,Normal,,10.1,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,0.96,Normal,,3.1,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.68,1.64,Normal,,60,,.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,5.45,5.46,Normal,,2.7,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.98,0.98,Normal,,1.1,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.89,3.93,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,4.53,4.55,Normal,,53,,.6,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.00,3.02,Normal,,11.6,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.38,2.38,Normal,,0.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.25,1.27,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.23,1.23,Normal,,0.5,,,
