River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.05,0.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.26,1.25,Normal,,13.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.32,9.28,Normal,,10.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.55,Normal,,2.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.52,0.52,Normal,,1.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.44,0.41,Normal,,14.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.69,0.69,Normal,,2.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.85,0.82,Normal,,14.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.59,5.59,Normal,,70.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.75,1.68,Normal,,8.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.80,1.80,Normal,,20.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.11,3.12,Normal,,22.4,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.38,2.36,Normal,,13.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.79,1.75,Normal,,64.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.89,0.88,Normal,,24.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.55,4.57,Normal,,18.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.98,0.96,Normal,,32.9,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.59,0.59,Normal,,1.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.97,1.94,Normal,,2.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.86,1.85,Normal,,9.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.23,1.22,Normal,,9.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.98,1.97,Normal,,22.4,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.70,2.69,Normal,,13.5,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.65,2.61,Normal,,12.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.10,2.09,Normal,,24.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.98,2.95,Normal,,51.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,3.89,3.91,Alert,Rising,19.3,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,5.03,5.05,Alert,Rising,19.3,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,1.30,1.15,Normal,,72.1,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.15,2.27,Normal,,5.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.93,0.93,Normal,,3.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.43,1.42,Normal,,28.6,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.27,3.23,Normal,,0.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.86,0.86,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.42,4.42,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.75,1.74,Normal,,6.7,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.13,2.13,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.38,2.37,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.20,1.20,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.10,1.08,Normal,,1.0,
