River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.67,3.64,Normal,,19.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.32,11.27,Normal,,7.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.99,Normal,,4.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.14,1.13,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.01,Normal,,3.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.11,Normal,,21.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.60,1.59,Normal,,7.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.65,7.69,Normal,,6.8,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.10,4.95,Normal,,24.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.51,3.37,Normal,,6.6,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.94,4.98,Normal,,28.2,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.62,3.63,Alert,Rising,60.,0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.77,2.70,Normal,,95.3,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.64,1.62,Alert,Falling,14.3,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.07,5.07,Alert,,1.6,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.91,1.89,Normal,,44.5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.42,1.36,Normal,,14.7,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,2.27,2.24,Alert,Falling,8.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.84,1.77,Normal,,27.6,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.40,1.39,Normal,,12.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.93,1.93,Normal,,16.6,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.78,1.77,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.08,1.07,Normal,,21.2,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.88,0.86,Normal,,34.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.66,0.66,Normal,,6.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.16,0.14,Normal,,71.,0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.30,1.28,Normal,,71.,0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.67,-2.72,Normal,,1.5,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.14,2.39,Normal,,5.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.39,1.38,Normal,,24.5,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.73,0.72,Normal,,2.5,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.95,3.10,Normal,,29.9,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.16,1.70,Normal,,48.1,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.64,2.72,Normal,,10.9,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.10,1.89,Normal,,30.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.54,3.70,Normal,,7.7,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.13,4.07,Normal,,108.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.93,2.88,Normal,,6.1,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.27,4.24,Alert,Falling,17.2,,
