தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
"செைத்தைைாமய, கிாிந்திசவை",ைம்பஹர,146.5
ஹல்வதுை சபருந்பதாட்டம்,களுத்துலற,123.5
குருதியசபாத பதயிலை சதாேிற்ொலை,ைரலி,117
கைந்தன பதயிலை சதாேிற்ொலை,இரத்திைபுரி,114.5
மபடால்சதன்ன சபருந்பதாட்டம்,லைைரக,109
தல்துவ சபருந்பதாட்டம்,லைைரக,108
"எைதுவ சபருந்பதாட்டம், எைதுவ.",களுத்துலற,105
