River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.35,5.25,Minor Flood,Falling,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.05,8.01,Minor Flood,Falling,1,,8.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.79,14.70,Normal,,38.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.15,2.08,Normal,,,13.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.28,2.20,Normal,,,14.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.37,2.15,Normal,,1,,7.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.10,1.09,Normal,,,13.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.56,3.58,Alert,Rising,1.2,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.85,9.85,Normal,,"4.4
10.1",,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.11,6.09,Alert,Falling,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.59,5.52,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.86,7.91,Minor Flood,Rising,1,,7.6,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.89,2.85,Normal,,,13.4,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.78,3.80,Alert,Rising,2.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.26,1.27,Normal,,,14.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.33,5.30,Alert,Falling,4.5,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.63,1.60,Normal,,6.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.53,0.51,Normal,,7.5,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.62,3.55,Normal,,1.9,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.30,2.25,Normal,,29.4,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.37,5.35,Minor Flood,Falling,2.4,,,
