River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,1.30,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.85,3.86,Normal,,8.5
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.08,11.94,Normal,,25.3
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.03,2.04,Normal,,37.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.79,Normal,,19.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.45,1.40,Normal,,41.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.13,1.10,Normal,,27.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.77,1.77,Normal,,4.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.12,8.15,Normal,,47.4
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.73,5.61,Alert,Falling,65.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.02,2.90,Normal,,35.8
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.83,4.85,Normal,,24.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.67,2.69,Normal,,10.8
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.70,2.61,Normal,,41.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.23,1.25,Normal,,14.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.54,5.52,Alert,Falling,16.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.42,2.20,Normal,,129.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.44,1.35,Normal,,58.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.34,1.31,Normal,,13.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.68,0.70,Normal,,2.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.84,0.84,Normal,,3.2
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.37,1.37,Normal,,4.2
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.12,-0.12,Normal,,0.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.49,0.49,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.28,0.28,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.12,-0.13,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.96,-3.00,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.30,4.25,Normal,,7.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.13,2.07,Normal,,61.5
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.45,0.41,Normal,,1.2
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.49,1.49,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.20,1.20,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.36,0.36,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.44,0.44,Normal,,2.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.64,Normal,,10.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.48,Normal,,7.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.54,1.54,Normal,,10.4
