,අනු,,දිසේික්කය,දිනය,ආපදාව,ප්‍රා.නල්.නකා,මධයසේථානනේ නම,,,පවුල්,,,"පුද්ගලයින්
සංඛ්‍යාව"
,අං.,,,,,,,,,සංඛ්‍යාව,,,
01,,,මහනුවර,2026.08.03,ගංවතුර,01,-,,08,,,25,
,දිසේික් එකතුව (01),,,,,,,,,08,,,25
,මුළු සුරක්ිත මධයසේථාන සංඛ්‍යාව (01),,,,,,,,,08,,,25
