,සමසේථ ආපදා විසේතරය - අය පත්ත කාලගුණ තත්තත්තවය න තුේ නවන්,,සංඛ්‍යාව
,Island-wide Total Incidents Summary due to Adverse weather,,
• බලපෑමට ලක් වූ දිස්ත්‍රික් ස්ත්‍ංඛ්‍යාව,,,16
• බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ ස්ත්‍ංඛ්‍යාව,,,115
• බලපෑමට ලක් වූ මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,"4,365"
• බලපෑමට ලක් වූ මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,"17,083"
• මියයෑම,,,10
• තුවාල ලැබූ ස්ත්‍ංඛ්‍යාව,,,09
• අතුරුදහන්,,,-
• නිවාස්ත්‍ පූර්ණ හානි ස්ත්‍ංඛ්‍යාව,,,04
• නිවාස්ත්‍ අර්ධ හානි ස්ත්‍ංඛ්‍යාව,,,847
• සුරක්ිත මධයස්ත්‍රථාන ස්ත්‍ංඛ්‍යාව,,,01
• සුරක්ිත මධයස්ත්‍රථානයන්ි සිටින මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,08
• සුරක්ිත මධයස්ත්‍රථානයන්ි සිටින මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,25
• ඥාති නිවාස්ත්‍ වල සිටින මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,-
• ඥාති නිවාස්ත්‍ වල සිටින මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,-
