,ආපදා විසේතරය - එල් නිනනෝ බලපෑම න ේතුනවන්,,,සංඛ්‍යාව,
• බලපෑමට ලක් වූ දිස්ත්‍රික් ස්ත්‍ංඛ්‍යාව,,,08,,
• බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ ස්ත්‍ංඛ්‍යාව,,,36,,
• බලපෑමට ලක් වූ මුළු පවුේ ස්ත්‍ංඛ්‍යාව,,,"42,244",,
• බලපෑමට ලක් වූ මුළු පුේගල ස්ත්‍ංඛ්‍යාව,,,"137,217",,
• පානීය ජලය දබදා දදන ප්‍රාදේශිය දේකම් දකාට්ඨාශ ස්ත්‍ංඛ්‍යාව,,,35,,
• පානීය ජලය දබදා දදන පවුේ ස්ත්‍ංඛ්‍යාව,,,"41,703",,
• පානීය ජලය දබදා දදන පුේගල ස්ත්‍ංඛ්‍යාව,,,"135,037",,
