,අනු,,දිසේික්කය,,,ප්‍රා.නල්.,,,පීඩාවට පත්ත,,,පීඩාවට පත්ත,,,පානීය ජලය නබදා දීම,,,,,,
,අංකය,,,,,සංඛ්‍යාව,,,පවුල් ගණන,,,පුද්ගලයින්,,,ප්‍රා.නල්.,,,පවුල්,,,"පුද්ගලයින්
ගණන"
,,,,,,,,,,,,ගණන,,,සංඛ්‍යාව,,,ගණන,,,
01,,,අම්පාර,,03,,,"3,794",,,"12,047",,,03,,,"3,794",,,12047,
02,,,අනුරාධපුර,,01,,,30,,,151,,,01,,,30,,,151,
03,,,බදුේල,,10,,,"5,435",,,"20,418",,,10,,,"5,435",,,"20,418",
04,,,මඩකලපුව,,08,,,"11,142",,,"33,394",,,08,,,"11,142",,,"33,394",
05,,,මාතදේ,,01,,,"5,910",,,"18,273",,,01,,,5910,,,18273,
06,,,දමාණරාගල,,08,,,"13,139",,,"42,429",,,08,,,"13,139",,,"42,429",
07,,,දපාද ාන්නරුව,,03,,,"2,446",,,"9,131",,,02,,,"2,146",,,"7,851",
08,,,රත්නපුර,,02,,,348,,,"1,374",,,02,,,107,,,474,
,එකතුව,,,,,36,,,"42,244",,,"137,217",,,35,,,"41,703",,,"135,037"
