4,"ළුතර
fSj;Jiw
Kalutara",Bandaragama,Flood/ Highwind,"2023.09.27/29/30
2023.10.01",35,145,,,,1,19,,,,,
,,Beruwala,High Wind,"2023.09.29 / 30
සහ
2023.10.02/03/04/
06/07",210,790,,,,,7,,,,,
,,Bulathsinhala,"Flood/ Highwind
/Cutting Failture","2023.09.27-30 /
2023.10.01",27,91,,,,,13,,,,,
,,Mathugama,High Wind,"2023.09.28-30 /
2023.10.06",10,28,,,,1,9,,,,,
,,Millaniya,Flood,"2023.09.29-30 සහ
2023.10.02/03",275,1003,,,,,11,,,,,
,,Agalawattha,High Wind,"2023.09.29 සහ
2023.10.01",6,23,,,,,6,,,,,
,,Horana,High Wind,2023.09.29,2,10,,,,,2,,,,,
,,Walallavita,High Wind,"2023.09.29 සහ
2023.10.01 /07",7,23,,,,,2,,,,,
,,Ingiriya,Flood,"2023.09.29-30 සහ
2023.10.01",16,47,,,,,11,,,,,
,,Kalutara,High Wind,"2023.09.29-30,
2023.10.03 /06",301,1136,,,,1,14,,,,,
,,Dodangoda,Flood,"2023.09.29-30,
2023.10.01/02/06",47,170,,,,1,18,,,,,
,,Madurawela,Flood,"2023.09.30,
2023.10.01",47,161,,,,,36,2,,,,
,,Panadura,Flood,2023.10.01,99,387,,,,,19,,,,,
දිස්ික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,1082,4014,0,0,0,4,167,2,0,0,0,0
5,"ගම්පහ
fk;g`h
Gampaha",Kelaniya,Flood,2023.10.01,929,4258,,,,,2,,,,,
,,Gampaha,Flood,2023.09.30,51,207,,,,,11,,,,,
,,Katana,Flood,2023.10.01,53,227,,,,,,,,,,
,,Attanagalla,Tree Fallen,2023.10.03,,,,,,,8,,,,,
,,Dompe,Flood,2023.09.30,8,28,,,,,2,,,1,8,28
,,Wattala,Flood,2023.09.30,6523,26666,,,,,3,,,2,20,73
,,Minuwangoda,Rain & Wind,2023.09.30,,,,,,,9,,,,,
,,Biyagama,Flood,2023.10.01,,,,,,,2,,,,,
,,Ja-Ela,Flood,2023.10.02,459,1868,,,,,,,,3,48,213
,,Mahara,Flood,2023.10.07,65,234,,,,1,11,,,,,
,,Meerigama,Wind,2023.10.01,,,,,,,4,,,,,
,,Negombo,Flood,2023.10.04,,,,,,,1,,,,,
දිස්ික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,8088,33488,0,0,0,1,53,0,0,6,76,314
පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,9240,37795,0,0,0,5,222,2,1,6,76,314
6,"මොතර
khj;jiw
Matara",Akuressa,Cutting failure,2023.10.05,1,6,,2,,,1,,,,,
,,,Flood,2023.09.28,263,1041,,,,,16,,,1,36,126
,,Thihagoda,,,631,2321,,,,,35,,,,,
,,Malimbada,,,1699,5941,,,,,3,,,1,3,11
,,Devinuwara,,,94,391,,,,,42,,,,,
,,Weligama,,,158,646,,,,,16,,,1,17,60
,,Kamburupitiya,,,260,1010,,,,,30,,,,,
,,Athuraliya,,,1211,3764,,,,,15,,,,,
,,Kirinda,,,34,131,,,,,34,,,,,
,,Pasgoda,,,10,35,,,,,10,,,,,
,,Hakmana,,,69,267,,,,,69,,,,,
,,Matara,,,1680,6654,,,,3,109,,,9,869,3119
,,Pitabeddara,,,12,46,,,,,12,,,,,
,,Mulatiyana,,,19,77,,,,,11,,,1,5,20
,,Kotapola,,,9,45,,,,,7,,,,,
,,Dickwella,,,149,559,,,,,85,,,,,
,,Welipitiya,,,1485,4589,,,,,17,,,,,
දිස්ික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,7784,27523,0,2,0,3,512,0,0,13,930,3336
