River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 AM","Water
Level at
9:00 AM",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8:30 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.60,3.65,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.64,6.54,Alert,Falling,16.0,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,14.18,13.94,Normal,,,37.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.16,2.20,Normal,,96.4,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.28,1.26,Normal,,69.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.70,1.69,Normal,,86.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.17,1.15,Normal,,72.7,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.50,2.53,Normal,,9.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.88,8.91,Normal,,64.8,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.87,5.80,Alert,Falling,56.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.61,5.57,Alert,Falling,75.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.67,6.73,Minor Flood,Rising,,29.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.89,3.91,Alert,Rising,19.4,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.94,3.66,Normal,,,41.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.43,1.45,Alert,Rising,,27.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.89,5.85,Alert,Falling,,43.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.78,1.69,Normal,,,27.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.74,0.71,Normal,,,31.1,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.02,Normal,,15.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.10,1.10,Normal,,5.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.88,0.84,Normal,,1.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.07,Normal,,2.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.27,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.16,Normal,,0.7,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.19,-0.18,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,2.84,2.84,Normal,,1.3,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.05,3.08,Normal,,55.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.11,2.07,Normal,,99.1,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.28,0.29,Normal,,7.5,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.72,1.72,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,3.2,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.62,0.60,Normal,,,31.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.49,0.49,Normal,,60.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.22,-0.22,Normal,,6.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.83,3.77,Normal,,17.9,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.55,2.43,Normal,,79.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.32,3.30,Alert,Falling,,33.6,
