River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.85,1.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.90,3.83,Normal,,7,9.3
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.45,11.35,Normal,,20.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.87,Normal,,16.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.88,0.87,Normal,,12.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.15,1.13,Normal,,12.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.36,1.33,Normal,,25.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.10,2.10,Normal,,18.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.06,8.10,Normal,,4.9,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.44,6.41,Alert,Falling,22.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.42,4.23,Alert,Falling,13.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.77,5.78,Alert,Rising,25.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.19,4.19,Minor Flood,,13.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.54,3.48,Normal,,4,4.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.12,2.12,Minor Flood,,28.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.95,6.92,Minor Flood,Falling,5,9.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.84,2.80,Normal,,7,1.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.72,1.70,Normal,,4,4.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.32,1.27,Normal,,26.8,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.68,1.61,Normal,,18.6,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.67,Normal,,120.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.05,2.00,Normal,,7.9,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,2.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.08,1.04,Normal,,19.2,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.7,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.52,0.48,Normal,,4,1.3
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.47,-0.49,Normal,,5,3.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.67,0.65,Normal,,5,3.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.59,-2.64,Normal,,3.8,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.11,Normal,,9.9,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.73,1.70,Normal,,6,7.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.72,0.70,Normal,,5,5.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.56,1.57,Normal,,12.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,7.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.31,0.31,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.06,-0.07,Normal,,1.5,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.38,0.38,Normal,,0.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.78,2.82,Normal,,6,3.5
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.76,1.74,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.00,2.94,Normal,,9.6,
