River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.40,2.30,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.35,6.57,Normal,,4.1,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,16.33,16.43,Minor Flood,Rising,13.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,3.15,2.91,Normal,,124.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.38,2.00,Normal,,12.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.63,2.18,Normal,,37.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.09,1.82,Alert,Falling,126.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.57,1.61,Normal,,1.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.01,8.07,Normal,,10.8,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,8.23,8.16,Minor Flood,Falling,63,.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.17,3.29,Normal,,18.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.66,4.76,Normal,,4.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.28,2.31,Normal,,2.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.77,3.85,Normal,,26.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.73,0.73,Normal,,15.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.97,4.38,Normal,,29.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.20,2.29,Normal,,22.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.17,1.15,Normal,,31.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.95,1.03,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.10,0.10,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.51,0.51,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.96,0.96,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.22,Normal,,1.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.58,0.57,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.19,0.19,Normal,,0.6,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.10,Normal,,0.5,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.14,-0.14,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,1.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,9.39,9.05,Major Flood,Falling,43.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,4.90,4.80,Alert,Falling,117.2,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.26,0.26,Normal,,3.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.02,-0.02,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.96,2.87,Normal,,1.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.20,4.20,Normal,,4.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.16,1.16,Normal,,1.5,
