"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Hali_Ela,
Badulla,
Passara,
Lunugala,
Welimada and
* Meegahakiwula
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","* Kandaketiya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,"Doluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,"↑ Udadumbara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
Matale,"* Ambanganga Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Wilgamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Monaragala,"* Bibila
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,,"↑ Hanguranketha and
↑ Mathurata
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑↑ Nildandahinna and
↑ Walapane
Divisional Secretariat
Division(s) (DSD) and
surrounding areas."
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,
*Newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas,,,
and given weather forecast by meteorological department of Sri Lanka,,,
