River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,0.80,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.20,1.18,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.40,9.40,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.63,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.51,0.51,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.45,0.45,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.65,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.51,0.37,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.68,4.67,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.14,1.14,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.29,1.28,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.96,1.93,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.26,1.24,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.53,1.55,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.92,0.92,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.47,3.46,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.90,0.89,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.47,0.45,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.80,1.79,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.67,1.67,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.24,1.23,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.00,1.99,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.84,0.63,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.06,2.02,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.46,1.45,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.48,1.48,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya ( Old),m,3.50,5.00,6.00,1.65,1.64,Normal,,0.0
,,Manampitiya (HMIS),m,4.65,6.15,7.15,2.79,2.78,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.42,-0.42,Normal,,0.0
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.11,2.30,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.93,0.94,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.17,1.17,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.52,7.51,Minor Flood,Falling,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.95,0.94,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.18,7.20,Minor Flood,Rising,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.26,3.25,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.02,1.02,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.28,2.28,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.17,1.16,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.08,1.08,Normal,,0.0
