දිනය : 2026-04-18,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,26,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,34,26,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,34,26,85,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,32,27,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,36,26,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,32,22,95,65,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,24,10,95,55,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,34,24,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,35,26,90,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,34,27,90,70,ප්‍රධාන වශයයන් වැසි රහිත
