"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Passara,
* Ella and
* Haldummulla
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Hali Ela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kalutara,"Walallawita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Ingiriya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,"Pathadumbara,
* Ududumbara,
* Udapalatha,
* Medadumbara and
Gangawata Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Yatinuwara,
Thumpane and
↑ Pasbage Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kegalle,"Galigamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"* Mawathagama,
Rideegama and
* Polgahawela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matale,"* Ukuwela,
* Ambanganga Korale,
* Laggala Pallegama and
Naula
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola and
Pasgoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"Ambagamuwa,
Walapane and",,
