River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,1.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.25,3.19,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.91,10.90,Normal,,3.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.20,2.30,Normal,,62.3
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.78,0.77,Normal,,1.2
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.16,1.62,Normal,,10.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.22,1.23,Normal,,2.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.24,2.23,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.24,8.24,Normal,,0.3
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.50,5.40,Alert,Falling,0.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.73,3.59,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.81,5.80,Alert,Falling,0.1
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.22,4.22,Minor Flood,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.82,2.79,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.14,2.14,Minor Flood,,5.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.71,6.68,Minor Flood,Falling,8.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.16,2.14,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.26,1.24,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.82,2.77,Normal,,4.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.46,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.62,2.60,Normal,,0.5
