River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12.00
Midnight",Remarks,"1
Water Level
i
Rising or
Falling","5 Hr RF
n mm at
12.00
Midnight"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.42,6.60,Normal,,84.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,15.21,15.20,Alert,Falling,108.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.10,2.18,Normal,,7.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.60,2.52,Normal,,119.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.25,1.23,Normal,,70.8
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.10,2.01,Alert,Falling,33.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.89,1.96,Normal,,164.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.35,8.37,Normal,,96.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.04,6.07,Alert,Rising,49.3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.22,3.74,Normal,,36.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.84,5.07,Alert,Rising,40.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.01,3.08,Normal,,76.7
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.70,3.97,Normal,,106.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.33,Normal,,22.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.22,6.38,Minor Flood,Rising,87.9
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.72,3.76,Normal,,38.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,4.10,3.80,Alert,Falling,25.4
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,6.05,6.20,Minor Flood,Rising,76.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.04,4.01,Normal,,13.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.83,4.83,Alert,,31.2
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,5.23,5.52,Alert,Rising,33.8
,Maha Oya,Giriulla,m,5.50,6.50,7.50,5.50,5.35,Normal,,63.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.33,5.35,Minor Flood,Rising,44.1
