River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12:00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.09,4.01,Normal,,4.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.41,11.35,Normal,,0.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.52,1.54,Normal,,1.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.05,1.02,Normal,,4.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.96,0.96,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.06,1.04,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.91,1.95,Normal,,4.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.84,7.84,Normal,,3.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.06,3.01,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.19,3.14,Normal,,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.70,4.71,Normal,,1.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.15,3.21,Normal,,1.2,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.88,1.77,Normal,,3.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.44,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.24,3.44,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.95,0.94,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.14,0.16,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.80,0.79,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.78,1.72,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.40,1.38,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.75,1.70,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.66,0.57,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.24,1.21,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.66,0.66,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.50,0.49,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.77,0.80,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.70,-1.68,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.60,2.52,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.53,1.55,Normal,,0.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.66,0.61,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.82,1.82,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.86,0.86,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.55,2.65,Normal,,10.,4
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.77,0.75,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.60,4.65,Normal,,2.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.55,4.41,Normal,,16.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.50,3.39,Normal,,8.,4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.82,2.79,Normal,,8.,8
