"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 04rd June 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"Western
Nky;
khfhzk
බස්ත්‍රනාහිර පලාත",1,"ගම්පහ
fk;g`h
Gampaha",Wattala,Flood,2021.06.03,6544,27780,,,,,,,,7,97,403,
,,,Ja- Ela,,,1594,5726,,,,,,,,,,,
,,,Biyagama,,,1304,5399,,,,1,12,,,,,,
,,,Katana,,,1883,7257,,,,,,,,,,,
,,,Mahara,,,841,3928,,,,1,11,,,3,646,3113,
,,,Gampaha,,,2709,10112,,,,,,,,,,,
,,,Minuwangoda,,,197,814,,,,,,,,,,,
,,,Dompe,,,25,101,,,,,,,,1,8,35,
,,,Kelaniya,,,7211,33054,,,,,9,,,,,,
,,,Negambo,,,142,576,,,,,,,,,,,
,,,Aththanagalla,,,755,2334,,,,,,,,,,,
,,,Meerigama,,,100,412,,,,,4,1,,,,,
,,,Diulapitiya,,,150,559,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,23455,98052,0,0,0,2,38,1,0,11,751,3551,
,2,"කකාළඹ nfhOk;G
Colombo",Kotte,Flood,2021.06.03,620,2613,,,,,,,,3,199,868,
,,,Homagama,,,102,362,,,,,,,,,,,
,,,Kaduwela,,,465,1894,,,,,,,,6,24,100,
,,,Kolonnawa,,,4615,19962,,,,,1,,,,,,
,,,Thimbirigasyaya,,,382,1448,,,,,,,,1,29,40,
,,,Seethawaka,,,101,461,,,,,,,,3,101,461,
,,,Colombo,,,323,1500,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6608,28240,0,0,0,0,1,0,0,13,353,1469,
,3,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Flood / Landslide,2021.06.03/04,5,12,,,,2,3,,,1,5,18,
,,,Madurawala,,,60,216,,,,,1,,,1,1,4,
,,,Bulathsinghala,,,8,24,,,,,3,,,1,2,13,
,,,Dodangoda,,,17,61,,,,,7,,,,,,
,,,Ingiriya,,,47,158,,,,,2,,,,,,
,,,Walallavita,,,1,3,,,,,1,,,,,,
,,,Horana,,,66,214,,,,,1,,,,,,
,,,Millaniya,,,150,642,1,,,,1,,,,,,
,,,Beruwala,,,2,8,,,,,2,,,,,,
,,,Mathugama,,,2,9,,,,,2,,,,,,
,,,Bandaragama,,,25,103,,,,,2,,,,,,
,,,Panadura,,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,384,1454,1,0,0,2,26,0,0,3,8,35,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,30447,127746,1,0,0,4,65,1,0,27,1112,5055,
